City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,rikitea,-23.12,-134.97,72.75,80,6,24.94,PF,1595098260
1,oktyabrskoye,43.06,44.74,77.0,69,0,4.47,RU,1595098261
2,bluff,-46.6,168.33,36.52,81,0,7.09,NZ,1595098261
3,mataura,-46.19,168.86,30.78,93,0,2.44,NZ,1595098261
4,kapaa,22.08,-159.32,82.4,78,75,8.05,US,1595098261
5,talcahuano,-36.72,-73.12,55.76,79,100,19.13,CL,1595098261
6,esperance,-33.87,121.9,50.0,100,75,4.7,AU,1595098262
7,tonantins,-2.87,-67.8,82.18,86,8,3.06,BR,1595098262
8,tasiilaq,65.61,-37.64,51.8,62,40,8.05,GL,1595098262
9,faanui,-16.48,-151.75,75.27,84,71,22.82,PF,1595098262
10,avarua,-21.21,-159.78,71.6,73,97,6.93,CK,1595098262
11,mangai,-4.05,19.53,75.4,44,13,1.45,CD,1595098263
12,cape town,-33.93,18.42,55.0,93,0,2.24,ZA,1595097977
13,yar-sale,66.83,70.83,50.5,94,100,10.87,RU,1595098263
14,alice springs,-23.7,133.88,44.6,30,0,4.7,AU,1595098263
15,busselton,-33.65,115.33,50.0,76,82,6.29,AU,1595098263
16,barrow,71.29,-156.79,37.4,86,90,13.87,US,1595098263
17,upernavik,72.79,-56.15,49.42,52,0,6.98,GL,1595098264
18,yinchuan,38.47,106.27,72.84,30,0,0.36,CN,1595098264
19,vaini,-21.2,-175.2,75.2,94,75,5.82,TO,1595098264
20,xuchang,34.02,113.82,73.4,94,90,4.47,CN,1595098264
21,dikson,73.51,80.55,39.07,94,100,8.23,RU,1595098265
22,hithadhoo,-0.6,73.08,80.89,73,100,32.66,MV,1595098265
23,geraldton,-28.77,114.6,50.0,93,64,5.82,AU,1595098265
24,saint george,37.1,-113.58,99.0,16,1,3.36,US,1595098252
25,provideniya,64.38,-173.3,45.88,78,89,4.29,RU,1595098265
26,gurlan,41.84,60.39,84.2,39,0,9.17,UZ,1595098265
27,aksay,47.26,39.87,69.01,77,0,8.95,RU,1595098266
28,east london,-33.02,27.91,67.57,32,0,5.66,ZA,1595098266
29,vega de alatorre,20.03,-96.63,87.33,60,11,9.86,MX,1595098266
30,albany,42.6,-73.97,91.0,45,0,3.44,US,1595098266
31,bredasdorp,-34.53,20.04,57.2,82,0,5.82,ZA,1595098266
32,qaqortoq,60.72,-46.03,66.2,29,75,8.05,GL,1595098266
33,keflavik,64.0,-22.56,51.8,76,75,18.34,IS,1595098266
